GENE             CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
ENSG00000116688    1   12040238   12073571     73       6  65967     -0.59117       0.7228
ENSG00000116691    1   12079523   12092102     17       3  65967       0.7931      0.21386
ENSG00000120949    1   12123434   12204264     85      16  65967       2.9556    0.0015603
ENSG00000028137    1   12227060   12269285     81       7  65967     -0.96564      0.83289
ENSG00000048707    1   12290124   12572099    220      12  65967      0.24129      0.40466
ENSG00000162496    1   12627939   12677737    105      17  65967       1.3465     0.089072
ENSG00000204518    1   12704566   12727097     27       2  65967       1.3282     0.092054
ENSG00000188984    1   12776118   12788726     32       3  65967     -0.59038      0.72253
ENSG00000157330    1   12806163   12823847     31       4  65967      -1.5638      0.94107
ENSG00000116726    1   12834984   12838049      6       2  65967      0.18805      0.42542
ENSG00000116721    1   12851546   12856777      3       1  65967      -1.4994      0.93312
ENSG00000162494    1   13801445   13840543     42      10  65967     -0.36254      0.64152
ENSG00000162493    1   13909960   13944452     70      14  65967     -0.56331      0.71339
ENSG00000116731    1   14026693   14151574    186      20  65967       1.5672     0.058537
ENSG00000189337    1   14925200   15444539   1252     122  65967      -0.4482        0.673
ENSG00000171729    1   15479028   15546976    317      22  65967      -0.0522      0.52082
ENSG00000204464    1   15490840   15497813     23       5  65967      -1.1543       0.8758
ENSG00000142621    1   15573768   15726779    296      27  65967      0.67247      0.25064
ENSG00000142634    1   15736391   15756839     11       3  65967     -0.75205      0.77399
ENSG00000162438    1   15764935   15775737      8       2  65967      0.92747      0.17684
ENSG00000142615    1   15783223   15798586     48       6  65967      -1.3731      0.91515
ENSG00000215704    1   15792404   15817895     64       9  65967     -0.89648        0.815
ENSG00000132906    1   15817327   15853029    117       6  65967     -0.29345      0.61541
ENSG00000116138    1   15853308   15918874    173       8  65967     -0.30615      0.62025
ENSG00000116771    1   15898848   15911605     46       4  65967     0.029101      0.48839
ENSG00000197312    1   15943995   15995539     97       4  65967      0.47995      0.31563
ENSG00000215695    1   15986364   15988217      2       1  65967      0.32495      0.37261
ENSG00000116786    1   16010827   16061264    112       6  65967     -0.52208      0.69919
ENSG00000162461    1   16062900   16067891      3       1  65967      0.25677      0.39868
ENSG00000162460    1   16068917   16074477      3       1  65967     -0.39026      0.65183
ENSG00000162458    1   16083102   16113089     36       4  65967     -0.61048      0.72923
ENSG00000065526    1   16174359   16266955    116      11  65967     -0.45265       0.6746
ENSG00000116809    1   16268364   16302627     45       9  65967    0.0057908      0.49769
ENSG00000183888    1   16330731   16335302     13       4  65967     -0.93032       0.8239
ENSG00000173641    1   16340523   16346089     43       5  65967       0.2831      0.38855
ENSG00000186510    1   16345370   16360545     77      10  65967       1.6929     0.045233
ENSG00000184908    1   16370272   16383803     56       4  65967     -0.52452      0.70004
ENSG00000185519    1   16384264   16400127      6       1  65967     -0.39408      0.65324
ENSG00000142627    1   16450832   16482582     23       3  65967      0.89381      0.18571
ENSG00000142632    1   16524349   16539104     44       3  65967      0.55318      0.29007
ENSG00000204377    1   16555368   16556038      2       1  65967        2.244     0.012415
ENSG00000132881    1   16558195   16563657     10       3  65967       1.4278      0.07667
ENSG00000037637    1   16573334   16678949    179       7  65967       2.1772     0.014734
ENSG00000055070    1   16679070   16724640     81       7  65967       1.8843     0.029763
ENSG00000187144    1   16713612   16763919    105      14  65967       1.2135      0.11246
ENSG00000157191    1   16767167   16786573     33       6  65967       1.1264      0.13001
ENSG00000058453    1   17066768   17299474     43       6  65967     -0.74883      0.77302
ENSG00000117122    1   17300997   17307330     16       3  65967       1.2304      0.10926
ENSG00000159363    1   17312453   17338423     41       6  65967       1.0888      0.13813
ENSG00000117118    1   17345217   17380665    104       9  65967       2.1463     0.015924
ENSG00000117115    1   17393256   17445948    209      11  65967       1.8896     0.029402
ENSG00000142623    1   17531621   17572500     79      14  65967       1.4097     0.079314
ENSG00000142619    1   17575593   17610728    150      20  65967      0.93776      0.17418
ENSG00000159339    1   17634690   17690499    229      16  65967      0.68624      0.24628
ENSG00000179051    1   17733256   17766220     56       6  65967       0.2985      0.38266
ENSG00000074964    1   17866330   18024369    239      19  65967      -1.2564      0.89551
ENSG00000117148    1   18081808   18153558    153      14  65967     -0.66196        0.746
ENSG00000117154    1   18434240   18704977    671      79  65967       2.8466    0.0022091
ENSG00000179023    1   18807424   18812478     25       5  65967        0.501      0.30819
ENSG00000009709    1   18957500   19075360    171      23  65967      0.46442      0.32117
ENSG00000179002    1   19166093   19186176     55       7  65967     0.066072      0.47366
ENSG00000159423    1   19197926   19229275     21       1  65967       1.0857      0.13881
ENSG00000169991    1   19230775   19283180     86      12  65967     -0.50433      0.69298
ENSG00000127481    1   19401000   19536770    213      15  65967     0.062506      0.47508
ENSG00000127463    1   19542158   19578046     88       9  65967      0.83391      0.20217
ENSG00000053372    1   19578033   19586622     52       8  65967      0.58824      0.27819
ENSG00000162482    1   19609052   19615744     24       4  65967       1.4821     0.069163
ENSG00000053371    1   19630459   19638640     17       6  65967       1.2269      0.10993
ENSG00000040487    1   19638820   19655794     72       9  65967       1.2671      0.10255
ENSG00000077549    1   19665267   19812066    447      19  65967     -0.24782      0.59786
ENSG00000173436    1   19923477   19956314     64       9  65967       1.1245       0.1304
ENSG00000158747    1   19967048   19984945     35       9  65967       1.2505      0.10556
ENSG00000158748    1   19991780   20006055     24       3  65967      0.51502      0.30327
ENSG00000162542    1   20008706   20126438    228      24  65967     -0.96413      0.83251
ENSG00000169914    1   20209006   20239438     66      11  65967     -0.63482      0.73723
ENSG00000188784    1   20246502   20250110     14       4  65967      0.33472      0.36892
ENSG00000188257    1   20301925   20306932      9       3  65967      0.10161      0.45953
ENSG00000127472    1   20354672   20417683    176      18  65967      -1.6072        0.946
ENSG00000117215    1   20438432   20446050      9       3  65967      -0.5396      0.70526
ENSG00000158786    1   20465819   20476879      8       2  65967       1.3651     0.086117
ENSG00000187980    1   20487746   20503917     41       7  65967      0.61431      0.26951
ENSG00000162543    1   20512578   20522541      7       2  65967     -0.19454      0.57712
ENSG00000158816    1   20617412   20681387    207      22  65967       1.0011      0.15838
ENSG00000162545    1   20808884   20812713      2       1  65967      0.36875      0.35616
ENSG00000090432    1   20825943   20834654     17       4  65967       1.3175     0.093843
ENSG00000183114    1   20878932   20881512      3       1  65967      0.94059      0.17346
ENSG00000158825    1   20915441   20945401    108      16  65967      -1.5564       0.9402
ENSG00000158828    1   20959948   20978004     66       8  65967      -1.1828      0.88156
ENSG00000244038    1   20978270   20988000     23       4  65967     -0.24904      0.59833
ENSG00000117245    1   20990507   21044510    141      26  65967      0.75383      0.22548
ENSG00000189410    1   21046225   21059330     29       6  65967       1.3789     0.083965
ENSG00000127483    1   21069154   21113816     69       8  65967        1.947     0.025766
ENSG00000075151    1   21132963   21503377    515      12  65967       1.8078     0.035319
ENSG00000117298    1   21543740   21671997    274      25  65967     -0.74735      0.77257
ENSG00000142794    1   21766621   21811498     78       6  65967      -1.2289      0.89045
ENSG00000162551    1   21835858   21904905    258      22  65967       0.4831      0.31451
ENSG00000076864    1   21922708   21995801    207      38  65967     -0.15753      0.56259
ENSG00000090686    1   22004791   22110099    270      18  65967       1.3513     0.088293
ENSG00000187942    1   22138758   22151714     11       3  65967       -0.204      0.58082
ENSG00000142798    1   22148738   22263790    210      20  65967      0.85927       0.1951
ENSG00000219073    1   22303514   22325135     83       8  65967     -0.52143      0.69897
ENSG00000142789    1   22328149   22339032     18       3  65967     -0.45752      0.67635
ENSG00000070831    1   22379120   22419437     80      10  65967       1.8789     0.030129
ENSG00000162552    1   22443798   22470462     68      10  65967       3.2252   0.00062937
ENSG00000184677    1   22778344   22857650     95       7  65967       0.6302      0.26428
ENSG00000070886    1   22890057   22930087    114      15  65967      -1.2321      0.89104
ENSG00000173372    1   22962999   22966101      5       2  65967     -0.20189         0.58
ENSG00000159189    1   22970123   22974603     19       3  65967      0.30326      0.38084
ENSG00000173369    1   22979255   22988031     23       4  65967     -0.29563      0.61625
ENSG00000133216    1   23037332   23241818    323      32  65967      0.60407       0.2729
ENSG00000215906    1   23279536   23291831     24       4  65967      0.37151      0.35513
ENSG00000227868    1   23337327   23342343      7       2  65967       -1.015      0.84496
ENSG00000004487    1   23345941   23410182     56       5  65967     -0.26229      0.60345
ENSG00000169641    1   23410516   23504301    122      10  65967      0.26586      0.39517
ENSG00000179546    1   23516993   23521222      8       2  65967      0.31711      0.37558
ENSG00000125944    1   23630264   23670829     24       3  65967      0.24018      0.40509
ENSG00000125945    1   23685941   23695935     22       3  65967      0.15205      0.43957
ENSG00000249087    1   23695490   23698332      3       2  65967       0.4113      0.34043
ENSG00000204219    1   23707554   23751233     97      13  65967      0.18905      0.42503
ENSG00000088280    1   23755056   23811061     92       9  65967      0.46941      0.31939
ENSG00000007968    1   23832922   23857712     39       5  65967     -0.26319       0.6038
ENSG00000117318    1   23884409   23886285      1       1  65967      0.57869       0.2814
ENSG00000197880    1   23907985   23967058     58      10  65967      0.35879      0.35988
ENSG00000142676    1   24018269   24022915      3       1  65967     -0.65226      0.74288
ENSG00000011007    1   24069645   24088549      8       3  65967      -1.5736       0.9422
ENSG00000057757    1   24104895   24114722      3       1  65967     -0.98601      0.83793
ENSG00000117305    1   24128375   24165110     37       2  65967      -1.0867      0.86143
ENSG00000179163    1   24171567   24194784     29       3  65967      -1.0318      0.84891
ENSG00000188822    1   24197016   24285549     47       1  65967    -0.027506      0.51097
ENSG00000142661    1   24382525   24438665    145      14  65967     -0.41259      0.66005
ENSG00000142677    1   24446261   24469611     59      11  65967     -0.61633      0.73116
ENSG00000185436    1   24480647   24514449     82      12  65967     -0.67522      0.75023
ENSG00000158055    1   24645812   24690972     60      10  65967      0.99507      0.15985
ENSG00000001460    1   24683489   24743424    123      10  65967      0.39499      0.34642
ENSG00000001461    1   24742284   24799466    137      11  65967       1.0818      0.13966
ENSG00000117602    1   24829387   24867530     86       9  65967       1.5965     0.055186
ENSG00000184454    1   24882602   24935819    207      25  65967      0.65789       0.2553
ENSG00000133226    1   24958207   24999758     28       4  65967       1.3043     0.096073
ENSG00000169504    1   25071848   25170815     54       3  65967       -1.059      0.85519
ENSG00000020633    1   25226002   25291612     76      11  65967     -0.74755      0.77263
ENSG00000183726    1   25664408   25688852     11       1  65967      0.49224      0.31127
ENSG00000188672    1   25688740   25756683     49       2  65967      0.72073      0.23554
ENSG00000204178    1   25757388   25826700     32       1  65967      0.72999       0.2327
ENSG00000157978    1   25870071   25895377     20       1  65967     -0.34739      0.63585
ENSG00000117643    1   25943959   26112698    189      16  65967      0.47453      0.31756
ENSG00000162430    1   26126667   26144713     34       3  65967      0.16544       0.4343
ENSG00000117640    1   26145131   26159432     28       2  65967      0.18034      0.42844
ENSG00000127423    1   26158414   26185903     59       2  65967      0.18507      0.42659
ENSG00000182749    1   26187701   26197744      4       1  65967      0.87504      0.19078
ENSG00000117632    1   26210672   26233482     17       2  65967      0.71759      0.23651
ENSG00000158006    1   26286258   26324648     70       4  65967     0.028785      0.48852
ENSG00000158008    1   26346375   26362955     18       3  65967     -0.65707      0.74443
ENSG00000158014    1   26363743   26372624     15       2  65967      0.17851      0.42916
ENSG00000158022    1   26377795   26394927     31       3  65967      0.46948      0.31936
ENSG00000175087    1   26437664   26452034     26       1  65967      0.59589      0.27562
ENSG00000197245    1   26485511   26489119      7       3  65967       2.1388     0.016227
ENSG00000142684    1   26496362   26498551      7       2  65967       1.0155      0.15494
ENSG00000142675    1   26503894   26516377     21       5  65967       1.9536     0.025375
ENSG00000188782    1   26517052   26529459     60       9  65967      0.29973      0.38219
ENSG00000130695    1   26560691   26605299    118       9  65967       0.2909      0.38556
ENSG00000142669    1   26605667   26608007      4       2  65967     -0.13003      0.55173
ENSG00000158062    1   26607819   26644854    114       9  65967      0.31436      0.37662
ENSG00000169442    1   26644448   26647014     11       3  65967     -0.14776      0.55874
ENSG00000176092    1   26648350   26680621     77       9  65967   -0.0034011      0.50136
ENSG00000176083    1   26688125   26701013     37       6  65967      0.08086      0.46778
ENSG00000131914    1   26737269   26756213     26       7  65967      0.57121      0.28393
ENSG00000117682    1   26758773   26797785     43       8  65967      0.23866      0.40568
ENSG00000198830    1   26798941   26802463      4       2  65967     -0.21211      0.58399
ENSG00000117676    1   26856252   26901521     76       8  65967       1.1933      0.11637
ENSG00000117713    1   27022524   27108595     91       4  65967       2.1826     0.014532
ENSG00000060642    1   27113963   27124889      9       2  65967       2.1012     0.017812
ENSG00000204160    1   27153201   27184093     40       5  65967       1.5713     0.058059
ENSG00000175793    1   27189633   27190947      1       1  65967     -0.65666       0.7443
ENSG00000142751    1   27202624   27216788     16       3  65967       1.6721     0.047253
ENSG00000198746    1   27216979   27226957      9       3  65967       1.5311     0.062875
ENSG00000090273    1   27226729   27273353     47       5  65967       2.0848     0.018541
ENSG00000131910    1   27237980   27240457      4       2  65967      0.79252      0.21403
ENSG00000175707    1   27276053   27286897     10       2  65967        2.316     0.010278
ENSG00000253368    1   27320198   27327389      4       1  65967      0.53511      0.29629
ENSG00000158246    1   27331511   27339327      4       1  65967     0.091951      0.46337
ENSG00000090020    1   27425306   27493472     46       2  65967       1.4997     0.066848
ENSG00000142784    1   27561007   27635110     52       5  65967        1.159      0.12323
ENSG00000186501    1   27648651   27662891     21       4  65967      0.72853      0.23314
ENSG00000142765    1   27668513   27680421     12       3  65967      0.46743       0.3201
ENSG00000142733    1   27681675   27693383     17       4  65967      0.87617      0.19047
ENSG00000174950    1   27705666   27709870      3       1  65967     -0.24354      0.59621
ENSG00000181773    1   27719148   27722318      1       1  65967     -0.78646       0.7842
ENSG00000158195    1   27730730   27816669     77       1  65967     -0.34621      0.63541
ENSG00000126705    1   27860546   27930942     29       4  65967     -0.63038      0.73578
ENSG00000000938    1   27938575   27961788     14       1  65967      0.49362      0.31079
ENSG00000126709    1   27992572   27998729      6       1  65967      -1.3562      0.91248
ENSG00000009780    1   28052490   28089633     47       1  65967     -0.49596      0.69004
ENSG00000117758    1   28099694   28150963     39       2  65967     -0.88552      0.81206
ENSG00000117751    1   28157289   28178187     11       1  65967     -0.86412      0.80624
ENSG00000130775    1   28199055   28213196     24       3  65967      0.14626      0.44186
ENSG00000117748    1   28218035   28241257     45       3  65967      0.46186      0.32209
ENSG00000130768    1   28261504   28285668     57       7  65967       1.9576     0.025136
ENSG00000158156    1   28285973   28294607      5       2  65967      0.20444        0.419
ENSG00000158161    1   28296855   28415207    158      11  65967      0.28458      0.38798
ENSG00000169403    1   28473677   28520447     34       5  65967      0.60326      0.27317
ENSG00000126698    1   28525967   28559536     69       6  65967      0.59264      0.27671
ENSG00000130770    1   28562620   28573417     34       3  65967      0.42759      0.33447
ENSG00000130766    1   28586038   28609002     33       5  65967      0.53423      0.29659
ENSG00000130772    1   28655513   28662476      1       1  65967      0.96329       0.1677
ENSG00000204138    1   28696114   28826881    330       7  65967       1.4292     0.076469
ENSG00000180198    1   28832455   28865812     54       5  65967       1.4376     0.075278
ENSG00000180098    1   28879597   28905051     22       2  65967       2.2635     0.011803
ENSG00000120656    1   28915835   28969597     33       3  65967       1.9926      0.02315
ENSG00000188060    1   28918712   28921955      2       1  65967       1.9728     0.024257
ENSG00000162419    1   28995244   29045865     54       4  65967        2.137     0.016299
ENSG00000198492    1   29063133   29096287     40       4  65967       1.6243     0.052156
ENSG00000116329    1   29138654   29190208    133      13  65967        3.185   0.00072379
ENSG00000159023    1   29213603   29446553    315      14  65967       3.6439   0.00013426
ENSG00000253304    1   29445940   29450447      8       2  65967       3.4451   0.00028543
ENSG00000116350    1   29474255   29508499     39       7  65967       2.5574     0.005273
ENSG00000116353    1   29519385   29557454     65       8  65967       1.6581     0.048648
ENSG00000060656    1   29563028   29653325    169      20  65967       1.6193     0.052696
ENSG00000162510    1   31184124   31196434     30       3  65967       2.0555     0.019916
ENSG00000162511    1   31205316   31230667     38       9  65967       2.6059    0.0045823
ENSG00000162512    1   31342314   31381608     31       9  65967        1.308     0.095436
ENSG00000134644    1   31404353   31538838    193      12  65967         1.55     0.060574
ENSG00000084628    1   31652592   31712401    197      12  65967       2.3705    0.0088827
ENSG00000060688    1   31732417   31769662     88       5  65967       3.5095   0.00022443
ENSG00000121766    1   31769842   31837783    135       7  65967       3.5828   0.00016996
ENSG00000121769    1   31838472   31849697     13       4  65967       4.1283   1.8273e-05
ENSG00000168528    1   31882412   31907525     56       5  65967       2.6526    0.0039933
ENSG00000121764    1   32083287   32098119     28       3  65967      -1.2241      0.88953
ENSG00000162517    1   32095463   32110497     18       2  65967      -0.9933      0.83972
ENSG00000084636    1   32117848   32169920     68      10  65967     -0.63416      0.73701
ENSG00000121753    1   32192718   32230494     18       3  65967      0.22177      0.41225
ENSG00000134668    1   32256023   32281652     26       5  65967     -0.37558      0.64639
ENSG00000184007    1   32372022   32410457     28       4  65967      0.72589      0.23395
ENSG00000121774    1   32479430   32526451      6       3  65967     -0.62341      0.73349
ENSG00000121775    1   32537632   32568467     24       2  65967     0.053247      0.47877
ENSG00000025800    1   32573639   32642169     40       2  65967      0.10151      0.45957
ENSG00000084652    1   32645287   32663886     12       1  65967      0.38367      0.35061
ENSG00000160051    1   32671236   32674288      5       1  65967     0.096464      0.46158
ENSG00000222046    1   32674695   32681797      5       2  65967      0.58088      0.28066
ENSG00000160055    1   32680073   32687972      5       1  65967       0.4889      0.31246
ENSG00000084623    1   32687529   32697205     10       1  65967      0.46438      0.32119
ENSG00000182866    1   32716840   32751766     11       3  65967      0.46071       0.3225
ENSG00000160058    1   32830704   32860332      2       1  65967     -0.50468      0.69311
ENSG00000273274    1   32930670   32962287     16       2  65967      0.60184      0.27364
ENSG00000160062    1   33005028   33071540    120       4  65967      0.27861      0.39027
ENSG00000176261    1   33065773   33116504     75       2  65967     -0.19303      0.57653
ENSG00000162521    1   33116743   33151812     63       2  65967     -0.34181      0.63375
ENSG00000162520    1   33145507   33169197     35       2  65967     -0.14259      0.55669
ENSG00000162522    1   33207486   33240571     28       5  65967       1.5884     0.056097
ENSG00000134684    1   33240840   33283754     64       6  65967       1.9351     0.026491
ENSG00000116497    1   33282368   33324476     40       4  65967       1.6588     0.048578
ENSG00000160097    1   33327869   33338083      8       2  65967        1.526      0.06351
ENSG00000121905    1   33351595   33364042     11       2  65967     0.096917       0.4614
ENSG00000121900    1   33360195   33367039      6       1  65967      -0.5047      0.69311
ENSG00000116514    1   33402046   33430286     41       4  65967     -0.53966      0.70529
ENSG00000004455    1   33473585   33546597     61       2  65967     -0.48408      0.68583
ENSG00000142920    1   33546705   33586131     19       2  65967     -0.19703       0.5781
ENSG00000116525    1   33611003   33647660     54       1  65967     0.011167      0.49555
ENSG00000160094    1   33722146   33766320     60       6  65967       1.1916       0.1167
ENSG00000184389    1   33772367   33786699     35       6  65967       1.2145      0.11227
ENSG00000134686    1   33789224   33896653    241      17  65967      0.40486      0.34279
ENSG00000121903    1   33938246   33962107     40       4  65967       2.3886    0.0084569
ENSG00000121904    1   33979609   34631443   1317     108  65967     0.013178      0.49474
ENSG00000176256    1   34326076   34330392      6       2  65967     -0.13637      0.55424
ENSG00000142698    1   34632484   34684732    134      13  65967       1.2304      0.10928
ENSG00000163866    1   35178338   35325417    169      18  65967      -1.1874      0.88247
ENSG00000116544    1   35331037   35395186     34       9  65967       2.1617     0.015321
ENSG00000243749    1   35447136   35450954      6       1  65967      0.49333      0.31089
