ENSGID	NAME	CHR	START	END	TSS
ENSG00000162585	C1orf86	1	2115903	2144159	2144159
ENSG00000157933	SKI	1	2160134	2241558	2160134
ENSG00000116151	MORN1	1	2252692	2323146	2323146
ENSG00000157916	RER1	1	2323267	2336883	2323267
ENSG00000157911	PEX10	1	2336236	2345236	2345236
ENSG00000149527	PLCH2	1	2357419	2436969	2357419
ENSG00000157881	PANK4	1	2439972	2458039	2458039
ENSG00000197921	HES5	1	2460184	2461684	2461684
ENSG00000157873	TNFRSF14	1	2487078	2496821	2487078
ENSG00000157870	FAM213B	1	2517930	2522908	2517930
ENSG00000142606	MMEL1	1	2522078	2564481	2564481
ENSG00000215912	TTC34	1	2567415	2718286	2718286
ENSG00000169717	ACTRT2	1	2938046	2939465	2938046
ENSG00000142611	PRDM16	1	2985732	3355185	2985732
ENSG00000130762	ARHGEF16	1	3370990	3397677	3370990
ENSG00000162591	MEGF6	1	3406484	3528059	3528059
ENSG00000158109	TPRG1L	1	3541566	3546691	3541566
ENSG00000116213	WRAP73	1	3547331	3569325	3569325
ENSG00000078900	TP73	1	3569084	3652765	3569084
ENSG00000162592	CCDC27	1	3668962	3688209	3668962
ENSG00000235169	SMIM1	1	3689352	3692546	3689352
ENSG00000130764	LRRC47	1	3696784	3713068	3713068
ENSG00000116198	CEP104	1	3728645	3773778	3773778
ENSG00000169598	DFFB	1	3773845	3801993	3773845
ENSG00000198912	C1orf174	1	3805689	3816857	3816857
ENSG00000196581	AJAP1	1	4714792	4852594	4714792
ENSG00000131697	NPHP4	1	5922871	6052533	6052533
ENSG00000069424	KCNAB2	1	6051526	6161253	6051526
ENSG00000116254	CHD5	1	6161853	6240183	6240183
ENSG00000116251	RPL22	1	6241329	6269449	6269449
ENSG00000158286	RNF207	1	6265535	6281359	6265535
ENSG00000116237	ICMT	1	6281253	6296032	6296032
ENSG00000173673	HES3	1	6304252	6305638	6304252
ENSG00000158292	GPR153	1	6307406	6321035	6321035
ENSG00000097021	ACOT7	1	6324329	6454451	6454451
ENSG00000069812	HES2	1	6472478	6484730	6484730
ENSG00000187017	ESPN	1	6484848	6521430	6484848
ENSG00000215788	TNFRSF25	1	6521211	6526255	6526255
ENSG00000171680	PLEKHG5	1	6526152	6580121	6580121
ENSG00000162408	NOL9	1	6581407	6614595	6614595
ENSG00000173662	TAS1R1	1	6615241	6639817	6615241
ENSG00000204859	ZBTB48	1	6640061	6649340	6640061
ENSG00000162413	KLHL21	1	6650784	6674667	6674667
ENSG00000116273	PHF13	1	6673745	6684093	6673745
ENSG00000041988	THAP3	1	6684926	6695646	6684926
ENSG00000007923	DNAJC11	1	6694228	6761984	6761984
ENSG00000171735	CAMTA1	1	6845384	7829766	6845384
ENSG00000049245	VAMP3	1	7831329	7841492	7831329
ENSG00000049246	PER3	1	7844380	7905237	7844380
ENSG00000049247	UTS2	1	7903143	7913572	7913572
ENSG00000049249	TNFRSF9	1	7979907	8000926	8000926
ENSG00000116288	PARK7	1	8014351	8045565	8014351
ENSG00000116285	ERRFI1	1	8064464	8086368	8086368
ENSG00000162426	SLC45A1	1	8377886	8404227	8377886
ENSG00000142599	RERE	1	8412457	8877702	8877702
ENSG00000074800	ENO1	1	8921061	8939308	8939308
ENSG00000131686	CA6	1	9005926	9035151	9005926
ENSG00000197241	SLC2A7	1	9063359	9086404	9086404
ENSG00000142583	SLC2A5	1	9095166	9148537	9148537
ENSG00000180758	GPR157	1	9160364	9189229	9189229
ENSG00000049239	H6PD	1	9294834	9331396	9294834
ENSG00000171621	SPSB1	1	9352939	9429591	9352939
ENSG00000171612	SLC25A33	1	9599541	9645237	9599541
ENSG00000188807	TMEM201	1	9648932	9674935	9648932
ENSG00000171608	PIK3CD	1	9711790	9789172	9711790
ENSG00000179840	C1orf200	1	9712668	9714644	9714644
ENSG00000171603	CLSTN1	1	9789084	9884584	9884584
ENSG00000178585	CTNNBIP1	1	9908334	9970394	9970394
ENSG00000162441	LZIC	1	9982173	10003465	10003465
ENSG00000173614	NMNAT1	1	10003486	10045559	10003486
ENSG00000162444	RBP7	1	10057264	10076078	10057264
ENSG00000130939	UBE4B	1	10092890	10241297	10092890
ENSG00000054523	KIF1B	1	10270863	10441661	10270863
ENSG00000142657	PGD	1	10458649	10480201	10458649
ENSG00000175279	APITD1	1	10490159	10512210	10490159
ENSG00000241563	CORT	1	10509776	10511959	10509776
ENSG00000160049	DFFA	1	10516579	10532583	10532583
ENSG00000142655	PEX14	1	10532345	10690815	10532345
ENSG00000130940	CASZ1	1	10696661	10856707	10856707
ENSG00000175262	C1orf127	1	11006528	11042094	11042094
ENSG00000120948	TARDBP	1	11072414	11085796	11072414
ENSG00000009724	MASP2	1	11086580	11107290	11107290
ENSG00000116649	SRM	1	11114641	11120081	11120081
ENSG00000171824	EXOSC10	1	11126675	11159938	11159938
ENSG00000198793	MTOR	1	11166592	11322564	11322564
ENSG00000171819	ANGPTL7	1	11249398	11256038	11249398
ENSG00000120942	UBIAD1	1	11333263	11356106	11333263
ENSG00000204624	PTCHD2	1	11539223	11597641	11539223
ENSG00000116661	FBXO2	1	11708424	11715842	11715842
ENSG00000132879	FBXO44	1	11714432	11723384	11714432
ENSG00000116663	FBXO6	1	11724181	11734411	11724181
ENSG00000116670	MAD2L2	1	11734537	11751707	11751707
ENSG00000162490	DRAXIN	1	11751786	11785914	11751786
ENSG00000177674	AGTRAP	1	11796141	11814859	11796141
ENSG00000215910	C1orf167	1	11821844	11849642	11821844
ENSG00000177000	MTHFR	1	11845780	11866977	11866977
ENSG00000011021	CLCN6	1	11866207	11903201	11866207
ENSG00000175206	NPPA	1	11905766	11908402	11908402
ENSG00000120937	NPPB	1	11917521	11918988	11918988
ENSG00000116685	KIAA2013	1	11979648	11986485	11986485
ENSG00000083444	PLOD1	1	11994262	12035595	11994262
ENSG00000116688	MFN2	1	12040238	12073571	12040238
ENSG00000116691	MIIP	1	12079523	12092102	12079523
ENSG00000120949	TNFRSF8	1	12123434	12204264	12123434
ENSG00000028137	TNFRSF1B	1	12227060	12269285	12227060
ENSG00000048707	VPS13D	1	12290124	12572099	12290124
ENSG00000162496	DHRS3	1	12627939	12677737	12677737
ENSG00000204518	AADACL4	1	12704566	12727097	12704566
ENSG00000188984	AADACL3	1	12776118	12788726	12776118
ENSG00000157330	C1orf158	1	12806163	12823847	12806163
ENSG00000116726	PRAMEF12	1	12834984	12838049	12834984
ENSG00000116721	PRAMEF1	1	12851546	12856777	12851546
ENSG00000204513	PRAMEF11	1	12884468	12891264	12891264
ENSG00000179172	HNRNPCL1	1	12907261	12908578	12908578
ENSG00000120952	PRAMEF2	1	12916941	12921764	12916941
ENSG00000243073	PRAMEF4	1	12939045	12946025	12946025
ENSG00000187545	PRAMEF10	1	12952727	12958101	12958101
ENSG00000204510	PRAMEF7	1	12976450	12980569	12976450
ENSG00000232423	PRAMEF6	1	12998181	13117751	13117751
ENSG00000204508	PRAMEF22	1	13035543	13038381	13035543
ENSG00000229571	PRAMEF26	1	13216356	13219581	13219581
ENSG00000204503	PRAMEF3	1	13328196	13331692	13331692
ENSG00000204502	PRAMEF5	1	13359819	13369057	13359819
ENSG00000182330	PRAMEF8	1	13386646	13390765	13390765
ENSG00000204501	PRAMEF9	1	13421176	13428191	13421176
ENSG00000204495	PRAMEF13	1	13447414	13452656	13452656
ENSG00000204491	PRAMEF18	1	13474689	13477522	13477522
ENSG00000204488	PRAMEF16	1	13495254	13498260	13495254
ENSG00000204486	PRAMEF21	1	13516066	13526943	13516066
ENSG00000157358	PRAMEF15	1	13641973	13648988	13641973
ENSG00000204481	PRAMEF14	1	13668269	13673511	13673511
ENSG00000204480	PRAMEF19	1	13694889	13698405	13698405
ENSG00000204479	PRAMEF17	1	13716092	13719089	13716092
ENSG00000204478	PRAMEF20	1	13736907	13747803	13736907
ENSG00000162494	LRRC38	1	13801445	13840543	13840543
ENSG00000162493	PDPN	1	13909960	13944452	13909960
ENSG00000116731	PRDM2	1	14026693	14151574	14026693
ENSG00000189337	KAZN	1	14925200	15444539	14925200
ENSG00000171729	TMEM51	1	15479028	15546976	15479028
ENSG00000204464	C1orf195	1	15490840	15497813	15497813
ENSG00000142621	FHAD1	1	15573768	15726779	15573768
ENSG00000142634	EFHD2	1	15736391	15756839	15736391
ENSG00000162438	CTRC	1	15764935	15775737	15764935
ENSG00000142615	CELA2A	1	15783223	15798586	15783223
ENSG00000215704	CELA2B	1	15792404	15817895	15792404
ENSG00000132906	CASP9	1	15817327	15853029	15853029
ENSG00000116138	DNAJC16	1	15853308	15918874	15853308
ENSG00000116771	AGMAT	1	15898848	15911605	15911605
ENSG00000197312	DDI2	1	15943995	15995539	15943995
ENSG00000215695	RSC1A1	1	15986364	15988217	15986364
ENSG00000116786	PLEKHM2	1	16010827	16061264	16010827
ENSG00000162461	SLC25A34	1	16062900	16067891	16062900
ENSG00000162460	TMEM82	1	16068917	16074477	16068917
ENSG00000162458	FBLIM1	1	16083102	16113089	16083102
ENSG00000065526	SPEN	1	16174359	16266955	16174359
ENSG00000116809	ZBTB17	1	16268364	16302627	16302627
ENSG00000183888	C1orf64	1	16330731	16335302	16330731
ENSG00000173641	HSPB7	1	16340523	16346089	16346089
ENSG00000186510	CLCNKA	1	16345370	16360545	16345370
ENSG00000184908	CLCNKB	1	16370272	16383803	16370272
ENSG00000185519	FAM131C	1	16384264	16400127	16400127
ENSG00000142627	EPHA2	1	16450832	16482582	16482582
ENSG00000142632	ARHGEF19	1	16524349	16539104	16539104
ENSG00000204377	C1orf134	1	16555368	16556038	16556038
ENSG00000132881	RSG1	1	16558195	16563657	16563657
ENSG00000037637	FBXO42	1	16573334	16678949	16678949
ENSG00000055070	SZRD1	1	16679070	16724640	16679070
ENSG00000187144	SPATA21	1	16713612	16763919	16763919
ENSG00000157191	NECAP2	1	16767167	16786573	16767167
ENSG00000268674	FAM231B	1	16865561	16866070	16865561
ENSG00000219481	NBPF1	1	16888814	16940057	16940057
ENSG00000237847	FAM231A	1	16999498	17000007	16999498
ENSG00000268991	FAM231C	1	17060447	17060956	17060956
ENSG00000058453	CROCC	1	17066768	17299474	17066768
ENSG00000117122	MFAP2	1	17300997	17307330	17307330
ENSG00000159363	ATP13A2	1	17312453	17338423	17338423
ENSG00000117118	SDHB	1	17345217	17380665	17380665
ENSG00000117115	PADI2	1	17393256	17445948	17445948
ENSG00000142623	PADI1	1	17531621	17572500	17531621
ENSG00000142619	PADI3	1	17575593	17610728	17575593
ENSG00000159339	PADI4	1	17634690	17690499	17634690
ENSG00000179051	RCC2	1	17733256	17766220	17766220
ENSG00000074964	ARHGEF10L	1	17866330	18024369	17866330
ENSG00000117148	ACTL8	1	18081808	18153558	18081808
ENSG00000117154	IGSF21	1	18434240	18704977	18434240
ENSG00000179023	KLHDC7A	1	18807424	18812478	18807424
ENSG00000009709	PAX7	1	18957500	19075360	18957500
ENSG00000179002	TAS1R2	1	19166093	19186176	19186176
ENSG00000159423	ALDH4A1	1	19197926	19229275	19229275
ENSG00000169991	IFFO2	1	19230775	19283180	19283180
ENSG00000127481	UBR4	1	19401000	19536770	19536770
ENSG00000127463	EMC1	1	19542158	19578046	19578046
ENSG00000053372	MRTO4	1	19578033	19586622	19578033
ENSG00000162482	AKR7A3	1	19609052	19615744	19615744
ENSG00000053371	AKR7A2	1	19630459	19638640	19638640
ENSG00000040487	PQLC2	1	19638820	19655794	19638820
ENSG00000077549	CAPZB	1	19665267	19812066	19812066
ENSG00000173436	MINOS1	1	19923477	19956314	19923477
ENSG00000158747	NBL1	1	19967048	19984945	19967048
ENSG00000158748	HTR6	1	19991780	20006055	19991780
ENSG00000162542	TMCO4	1	20008706	20126438	20126438
ENSG00000178828	RNF186	1	20140523	20141771	20141771
ENSG00000169914	OTUD3	1	20209006	20239438	20209006
ENSG00000188784	PLA2G2E	1	20246502	20250110	20250110
ENSG00000188257	PLA2G2A	1	20301925	20306932	20306932
ENSG00000127472	PLA2G5	1	20354672	20417683	20354672
ENSG00000117215	PLA2G2D	1	20438432	20446050	20446050
ENSG00000158786	PLA2G2F	1	20465819	20476879	20465819
ENSG00000187980	PLA2G2C	1	20487746	20503917	20503917
ENSG00000162543	UBXN10	1	20512578	20522541	20512578
ENSG00000158816	VWA5B1	1	20617412	20681387	20617412
ENSG00000162545	CAMK2N1	1	20808884	20812713	20812713
ENSG00000090432	MUL1	1	20825943	20834654	20834654
ENSG00000183114	FAM43B	1	20878932	20881512	20878932
ENSG00000158825	CDA	1	20915441	20945401	20915441
ENSG00000158828	PINK1	1	20959948	20978004	20959948
ENSG00000244038	DDOST	1	20978270	20988000	20988000
ENSG00000117245	KIF17	1	20990507	21044510	21044510
ENSG00000189410	SH2D5	1	21046225	21059330	21059330
ENSG00000127483	HP1BP3	1	21069154	21113816	21113816
ENSG00000075151	EIF4G3	1	21132963	21503377	21503377
ENSG00000117298	ECE1	1	21543740	21671997	21671997
ENSG00000142794	NBPF3	1	21766621	21811498	21766621
ENSG00000162551	ALPL	1	21835858	21904905	21835858
ENSG00000076864	RAP1GAP	1	21922708	21995801	21995801
ENSG00000090686	USP48	1	22004791	22110099	22110099
ENSG00000187942	LDLRAD2	1	22138758	22151714	22138758
ENSG00000142798	HSPG2	1	22148738	22263790	22263790
ENSG00000219073	CELA3B	1	22303514	22325135	22303514
ENSG00000142789	CELA3A	1	22328149	22339032	22328149
ENSG00000070831	CDC42	1	22379120	22419437	22379120
ENSG00000162552	WNT4	1	22443798	22470462	22470462
ENSG00000184677	ZBTB40	1	22778344	22857650	22778344
ENSG00000070886	EPHA8	1	22890057	22930087	22890057
ENSG00000173372	C1QA	1	22962999	22966101	22962999
ENSG00000159189	C1QC	1	22970123	22974603	22970123
ENSG00000173369	C1QB	1	22979255	22988031	22979255
ENSG00000133216	EPHB2	1	23037332	23241818	23037332
ENSG00000215906	LACTBL1	1	23279536	23291831	23291831
ENSG00000227868	C1orf234	1	23337327	23342343	23342343
ENSG00000004487	KDM1A	1	23345941	23410182	23345941
ENSG00000169641	LUZP1	1	23410516	23504301	23504301
ENSG00000179546	HTR1D	1	23516993	23521222	23521222
ENSG00000125944	HNRNPR	1	23630264	23670829	23670829
ENSG00000125945	ZNF436	1	23685941	23695935	23695935
ENSG00000249087	C1orf213	1	23695490	23698332	23695490
ENSG00000204219	TCEA3	1	23707554	23751233	23751233
ENSG00000088280	ASAP3	1	23755056	23811061	23811061
ENSG00000007968	E2F2	1	23832922	23857712	23857712
ENSG00000117318	ID3	1	23884409	23886285	23886285
ENSG00000197880	MDS2	1	23907985	23967058	23907985
ENSG00000142676	RPL11	1	24018269	24022915	24018269
ENSG00000011007	TCEB3	1	24069645	24088549	24069645
ENSG00000057757	PITHD1	1	24104895	24114722	24104895
ENSG00000011009	LYPLA2	1	24117460	24122029	24117460
ENSG00000117308	GALE	1	24122089	24127271	24127271
ENSG00000117305	HMGCL	1	24128375	24165110	24165110
ENSG00000179163	FUCA1	1	24171567	24194784	24194784
ENSG00000188822	CNR2	1	24197016	24285549	24285549
ENSG00000189266	PNRC2	1	24285599	24289952	24285599
ENSG00000188529	SRSF10	1	24291294	24307417	24307417
ENSG00000142661	MYOM3	1	24382525	24438665	24438665
ENSG00000142677	IL22RA1	1	24446261	24469611	24469611
ENSG00000185436	IFNLR1	1	24480647	24514449	24514449
ENSG00000158055	GRHL3	1	24645812	24690972	24645812
ENSG00000001460	STPG1	1	24683489	24743424	24743424
ENSG00000001461	NIPAL3	1	24742284	24799466	24742284
ENSG00000117602	RCAN3	1	24829387	24867530	24829387
ENSG00000184454	NCMAP	1	24882602	24935819	24882602
ENSG00000133226	SRRM1	1	24958207	24999758	24958207
ENSG00000169504	CLIC4	1	25071848	25170815	25071848
ENSG00000020633	RUNX3	1	25226002	25291612	25291612
ENSG00000117614	SYF2	1	25549170	25558993	25558993
ENSG00000117616	C1orf63	1	25568728	25664704	25664704
ENSG00000187010	RHD	1	25598884	25656936	25598884
ENSG00000183726	TMEM50A	1	25664408	25688852	25664408
ENSG00000188672	RHCE	1	25688740	25756683	25756683
ENSG00000204178	TMEM57	1	25757388	25826700	25757388
ENSG00000157978	LDLRAP1	1	25870071	25895377	25870071
ENSG00000117643	MAN1C1	1	25943959	26112698	25943959
ENSG00000162430	SEPN1	1	26126667	26144713	26126667
ENSG00000117640	MTFR1L	1	26145131	26159432	26145131
ENSG00000127423	AUNIP	1	26158414	26185903	26185903
ENSG00000182749	PAQR7	1	26187701	26197744	26197744
ENSG00000117632	STMN1	1	26210672	26233482	26233482
ENSG00000158006	PAFAH2	1	26286258	26324648	26324648
ENSG00000158008	EXTL1	1	26346375	26362955	26346375
ENSG00000158014	SLC30A2	1	26363743	26372624	26372624
ENSG00000158022	TRIM63	1	26377795	26394927	26394927
ENSG00000175087	PDIK1L	1	26437664	26452034	26437664
ENSG00000197245	FAM110D	1	26485511	26489119	26485511
ENSG00000142684	ZNF593	1	26496362	26498551	26496362
ENSG00000142675	CNKSR1	1	26503894	26516377	26503894
ENSG00000188782	CATSPER4	1	26517052	26529459	26517052
ENSG00000130695	CEP85	1	26560691	26605299	26560691
ENSG00000142669	SH3BGRL3	1	26605667	26608007	26605667
ENSG00000158062	UBXN11	1	26607819	26644854	26644854
ENSG00000169442	CD52	1	26644448	26647014	26644448
ENSG00000176092	AIM1L	1	26648350	26680621	26680621
ENSG00000176083	ZNF683	1	26688125	26701013	26701013
ENSG00000131914	LIN28A	1	26737269	26756213	26737269
ENSG00000117682	DHDDS	1	26758773	26797785	26758773
ENSG00000198830	HMGN2	1	26798941	26802463	26798941
ENSG00000117676	RPS6KA1	1	26856252	26901521	26856252
ENSG00000117713	ARID1A	1	27022524	27108595	27022524
ENSG00000060642	PIGV	1	27113963	27124889	27113963
ENSG00000204160	ZDHHC18	1	27153201	27184093	27153201
ENSG00000175793	SFN	1	27189633	27190947	27189633
ENSG00000142751	GPN2	1	27202624	27216788	27216788
ENSG00000198746	GPATCH3	1	27216979	27226957	27226957
ENSG00000090273	NUDC	1	27226729	27273353	27226729
ENSG00000131910	NR0B2	1	27237980	27240457	27240457
ENSG00000175707	C1orf172	1	27276053	27286897	27286897
ENSG00000253368	TRNP1	1	27320198	27327389	27320198
ENSG00000158246	FAM46B	1	27331511	27339327	27339327
ENSG00000090020	SLC9A1	1	27425306	27493472	27493472
ENSG00000142784	WDTC1	1	27561007	27635110	27561007
ENSG00000186501	TMEM222	1	27648651	27662891	27648651
ENSG00000142765	SYTL1	1	27668513	27680421	27668513
ENSG00000142733	MAP3K6	1	27681675	27693383	27693383
ENSG00000142748	FCN3	1	27695603	27701315	27701315
ENSG00000174950	CD164L2	1	27705666	27709870	27709870
ENSG00000181773	GPR3	1	27719148	27722318	27719148
ENSG00000158195	WASF2	1	27730730	27816669	27816669
ENSG00000126705	AHDC1	1	27860546	27930942	27930942
ENSG00000000938	FGR	1	27938575	27961788	27961788
ENSG00000126709	IFI6	1	27992572	27998729	27998729
ENSG00000009780	FAM76A	1	28052490	28089633	28052490
ENSG00000117758	STX12	1	28099694	28150963	28099694
ENSG00000117751	PPP1R8	1	28157289	28178187	28157289
ENSG00000130775	THEMIS2	1	28199055	28213196	28199055
ENSG00000117748	RPA2	1	28218035	28241257	28241257
ENSG00000130768	SMPDL3B	1	28261504	28285668	28261504
ENSG00000158156	XKR8	1	28285973	28294607	28285973
ENSG00000158161	EYA3	1	28296855	28415207	28415207
ENSG00000169403	PTAFR	1	28473677	28520447	28520447
ENSG00000126698	DNAJC8	1	28525967	28559536	28559536
ENSG00000130770	ATPIF1	1	28562620	28573417	28562620
ENSG00000130766	SESN2	1	28586038	28609002	28586038
ENSG00000130772	MED18	1	28655513	28662476	28655513
ENSG00000204138	PHACTR4	1	28696114	28826881	28696114
ENSG00000180198	RCC1	1	28832455	28865812	28832455
ENSG00000180098	TRNAU1AP	1	28879597	28905051	28879597
ENSG00000120656	TAF12	1	28915835	28969597	28969597
ENSG00000188060	RAB42	1	28918712	28921955	28918712
ENSG00000162419	GMEB1	1	28995244	29045865	28995244
ENSG00000198492	YTHDF2	1	29063133	29096287	29063133
ENSG00000116329	OPRD1	1	29138654	29190208	29138654
ENSG00000159023	EPB41	1	29213603	29446553	29213603
ENSG00000253304	TMEM200B	1	29445940	29450447	29450447
ENSG00000116350	SRSF4	1	29474255	29508499	29508499
ENSG00000116353	MECR	1	29519385	29557454	29557454
ENSG00000060656	PTPRU	1	29563028	29653325	29563028
ENSG00000162510	MATN1	1	31184124	31196434	31196434
ENSG00000162511	LAPTM5	1	31205316	31230667	31230667
ENSG00000162512	SDC3	1	31342314	31381608	31381608
ENSG00000134644	PUM1	1	31404353	31538838	31538838
ENSG00000084628	NKAIN1	1	31652592	31712401	31712401
ENSG00000060688	SNRNP40	1	31732417	31769662	31769662
ENSG00000121766	ZCCHC17	1	31769842	31837783	31769842
ENSG00000121769	FABP3	1	31838472	31849697	31849697
ENSG00000168528	SERINC2	1	31882412	31907525	31882412
ENSG00000142910	TINAGL1	1	32042116	32053288	32042116
ENSG00000121764	HCRTR1	1	32083287	32098119	32083287
ENSG00000162517	PEF1	1	32095463	32110497	32110497
ENSG00000084636	COL16A1	1	32117848	32169920	32169920
ENSG00000121753	BAI2	1	32192718	32230494	32230494
ENSG00000134668	SPOCD1	1	32256023	32281652	32281652
ENSG00000184007	PTP4A2	1	32372022	32410457	32410457
ENSG00000121774	KHDRBS1	1	32479430	32526451	32479430
ENSG00000121775	TMEM39B	1	32537632	32568467	32537632
ENSG00000025800	KPNA6	1	32573639	32642169	32573639
ENSG00000084652	TXLNA	1	32645287	32663886	32645287
ENSG00000160050	CCDC28B	1	32665987	32670988	32665987
ENSG00000160051	IQCC	1	32671236	32674288	32671236
ENSG00000222046	DCDC2B	1	32674695	32681797	32674695
ENSG00000160055	TMEM234	1	32680073	32687972	32687972
ENSG00000084623	EIF3I	1	32687529	32697205	32687529
ENSG00000183615	FAM167B	1	32712834	32714457	32712834
ENSG00000182866	LCK	1	32716840	32751766	32716840
ENSG00000116478	HDAC1	1	32757687	32799236	32757687
ENSG00000175130	MARCKSL1	1	32799433	32801980	32801980
ENSG00000162526	TSSK3	1	32817122	32829913	32817122
ENSG00000225828	FAM229A	1	32826871	32829879	32829879
ENSG00000160058	BSDC1	1	32830704	32860332	32860332
ENSG00000273274	ZBTB8B	1	32930670	32962287	32930670
ENSG00000160062	ZBTB8A	1	33005028	33071540	33005028
ENSG00000176261	ZBTB8OS	1	33065773	33116504	33116504
ENSG00000162521	RBBP4	1	33116743	33151812	33116743
ENSG00000162520	SYNC	1	33145507	33169197	33169197
ENSG00000162522	KIAA1522	1	33207486	33240571	33207486
ENSG00000134684	YARS	1	33240840	33283754	33283754
ENSG00000116497	S100PBP	1	33282368	33324476	33282368
ENSG00000160097	FNDC5	1	33327869	33338083	33338083
ENSG00000121905	HPCA	1	33351595	33364042	33351595
ENSG00000121900	TMEM54	1	33360195	33367039	33367039
ENSG00000116514	RNF19B	1	33402046	33430286	33430286
ENSG00000267885	FKSG48	1	33439268	33439642	33439268
ENSG00000004455	AK2	1	33473585	33546597	33546597
ENSG00000142920	ADC	1	33546705	33586131	33546705
ENSG00000116525	TRIM62	1	33611003	33647660	33647660
ENSG00000160094	ZNF362	1	33722146	33766320	33722146
ENSG00000184389	A3GALT2	1	33772367	33786699	33786699
ENSG00000134686	PHC2	1	33789224	33896653	33896653
ENSG00000121903	ZSCAN20	1	33938246	33962107	33938246
ENSG00000121904	CSMD2	1	33979609	34631443	34631443
ENSG00000176256	HMGB4	1	34326076	34330392	34326076
ENSG00000142698	C1orf94	1	34632484	34684732	34632484
ENSG00000163866	SMIM12	1	35178338	35325417	35325417
ENSG00000189280	GJB5	1	35220648	35224113	35220648
ENSG00000189433	GJB4	1	35225342	35229325	35225342
ENSG00000188910	GJB3	1	35246790	35251970	35246790
ENSG00000187513	GJA4	1	35258599	35261348	35258599
ENSG00000116544	DLGAP3	1	35331037	35395186	35395186
ENSG00000243749	ZMYM6NB	1	35447136	35450954	35450954
ENSG00000163867	ZMYM6	1	35449523	35497569	35497569
ENSG00000197056	ZMYM1	1	35525387	35581460	35525387
ENSG00000116560	SFPQ	1	35641979	35658749	35658749
ENSG00000146463	ZMYM4	1	35734568	35887659	35734568
ENSG00000142687	KIAA0319L	1	35899091	36023551	36023551
ENSG00000020129	NCDN	1	36023074	36032875	36023074
ENSG00000116819	TFAP2E	1	36038971	36060929	36038971
ENSG00000126067	PSMB2	1	36067185	36107445	36107445
ENSG00000142686	C1orf216	1	36179476	36185073	36185073
ENSG00000092853	CLSPN	1	36185819	36235568	36235568
ENSG00000134698	AGO4	1	36273773	36323491	36273773
ENSG00000092847	AGO1	1	36335409	36395211	36335409
